ID,Town,HomePrice,lnHomePrice ,EDMathGrade4 ,EDReadingGrade4 ,AvgClassSize,PPE ,lnPPE,Preschool ,ResTaxRate ,RegionalDistrictElem ,RaceWhite ,RaceBlack ,EthnHispanicLatino ,RaceAsian ,RaceAmIndAlNative ,RaceHawaiiPI,RaceOther ,RaceTwoorMore,AgeUnder18 ,AgeOver65 ,BAPlus ,HSPlus ,Pop000s,HHIncome ,lnHHIncome,DistBoston ,DistBostonSq  
142,West Newbury - Pentucket,"553,650",13.224288,39,55,16.6,"15,194.44",9.62868485,1,14.56,1,98.00,0,1.4,0.9,0,0,0.1,1,30.0,8.8,58,98,4.235,138947,11.84184784,37.4,1398.76
143,Westford,"585,000",13.27936713,83,77,18.2,"14,020.48",9.548274397,1,19.36,0,78.70,0.8,1.9,18.8,0,0,0.1,1.6,26.9,12.9,69.3,97.3,21.951,130739,11.78095825,38,1444
144,Weston,"1,537,500",14.24566828,76,82,17.2,"24,225.87",10.09517635,1,12.51,0,80.90,2.2,4.5,11.2,0.1,0,2.5,3,26.9,20.4,82.2,99,11.261,191744,12.16391643,17,289
145,Westwood,"780,000",13.5670492,78,82,18.0,"17,594.98",9.775368913,1,15.09,0,87.70,0.7,2.3,8.3,0,0,1.2,2.1,26.1,18.9,69.9,96.9,14.618,140355,11.85193021,24.6,605.16
146,Weymouth,"410,000",12.92391244,50,62,18.5,"14,864.25",9.60671428,1,12.5,0,86.00,5.2,3.1,5.7,0.1,0,1,2,18.8,17.8,36.5,93.2,53.743,69744,11.15258667,15.3,234.09
147,Whitman,"330,500",12.70836194,48,65,21.3,"12,749.65",9.453259099,1,16.01,1,95.50,1.2,1.5,0.5,0,0,0.7,2.1,23.2,13.3,29.3,93.9,14.489,75898,11.23714561,24,576
148,Wilmington,"537,950",13.1955209,69,64,17.5,"16,859.67",9.732679658,1,14.41,0,89.40,3.3,1.6,4.9,0,0.1,0.9,1.4,21.5,15.4,43,95.6,22.325,102301,11.53567473,18,324
149,Winchester,"1,189,500",13.98904361,82,80,19.4,"13,547.31",9.513943283,1,12.19,0,83.20,0.3,2.1,12.8,0,0,1.2,2.5,27.9,17.5,75.8,98.3,21.374,149321,11.91385363,8.9,79.21
150,Winthrop,"523,000",13.16733674,61,64,21.0,"13,875.61",9.537887902,1,14.16,0,93.30,2,8.8,0.6,0,0,1.6,2.4,18.4,18.5,36.7,94.9,17.497,62997,11.05084239,6,36
151,Woburn,"499,950",13.12226337,48,50,16.4,"16,613.01",9.717941402,1,9.89,0,79.80,7.1,4.9,7.9,0,0,3.1,2,19.4,16.4,44.8,94.1,38.12,83872,11.33704711,11.3,127.69
152,Wrentham,"500,000",13.12236338,56,75,19.9,"15,473.90",9.646910013,1,14.24,0,96.50,2.6,2.8,0.6,0,0,0.2,0,25.5,13.7,51.2,97.1,10.955,99924,11.51216518,32.8,1075.84
